Id del ;Strada ;Comune ;Note ;Km da ;Km a 
160;SP 1 dir;CALCERANICA AL LAGO;(Nessuno);0;0,855
159;SP 1;CALCERANICA AL LAGO;(Nessuno);4,267;5,73
22;SS 42;CALDES;Tozzaga;185,12;185,64
23;SS 42;CALDES;Bordiana e Bozzana;186,45;187,345
161;SP 125;CALDES;Samoclevo;2,02;2,736
21;SS 42;CALDES;Caldes;181,72;182,015
543;SP 133 dir;CALDONAZZO;Lochere;2,093;2,425
542;SP 133;CALDONAZZO;Caldonazzo;0;1,925
539;SP 1;CALDONAZZO;Caldonazzo;5,88;7,7
541;SP 132;CALDONAZZO;Caldonazzo;0;0,565
540;SP 108;CALDONAZZO;Caldonazzo;6;6,81
526;SS 12;CALLIANO;(Nessuno);361,543;363
525;SP 59;CALLIANO;(Nessuno);1,32;1,96
527;SS 350;CALLIANO;(Nessuno);0;0,7
524;SP 49;CALLIANO;(Nessuno);2,307;2,67
24;SS 48;CAMPITELLO DI FASSA;(Nessuno);60,73;61,75
168;SP 67;CAMPODENNO;Termon;9,74;10,48
166;SP 67;CAMPODENNO;Campodenno;7,747;8,336
165;SP 55;CAMPODENNO;Campodenno;3,82;4,253
164;SP 55;CAMPODENNO;Quaetta;3,09;3,16
163;SP 55;CAMPODENNO;Cressino;0;0,18
167;SP 67;CAMPODENNO;Lover;5,73;6,46
403;SS 641;CANAZEI;(Nessuno);0;4,065
402;SS 48;CANAZEI;(Nessuno);62,8;64,36
162;SP 51;CAPRIANA;(Nessuno);1,663;1,853
489;SS 48;CARANO;(Nessuno);21,935;22,725
490;SP 126;CARANO;(Nessuno);1,653;2,84
491;SP 126 dir;CARANO;(Nessuno);0;0,956
488;SS 612;CARANO;(Nessuno);45,525;45,66
27;SS 239;CARISOLO;Carisolo;29,25;29,85
470;SP 65;CARZANO;(Nessuno);11,698;12,867
471;SP 111;CARZANO;(Nessuno);0,752;1,166
169;SP 70;CASTEL CONDINO;Castel Condino;4,112;4,467
170;SP 43;CASTELFONDO;(Nessuno);1,353;2,05
350;SS 612;CASTELLO-MOLINA DI FIEMME;Castello di Fiemme;44,145;45,525
404;SS 612 dir;CASTELLO-MOLINA DI FIEMME;Castello di Fiemme;0;0,838
349;SS 612;CASTELLO-MOLINA DI FIEMME;Molina di Fiemme;41,235;42,04
348;SS 612;CASTELLO-MOLINA DI FIEMME;Molina di Fiemme;42,04;43,446
463;SP 78;CASTELLO TESINO;(Nessuno);14,092;14,592
465;SP 79;CASTELLO TESINO;(Nessuno);43,25;44,348
464;SP 75;CASTELLO TESINO;(Nessuno);9,749;11,252
466;SP 212;CASTELLO TESINO;(Nessuno);3,846;4,45
506;SP 41;CASTELNUOVO;(Nessuno);0;0,762
507;SP 109;CASTELNUOVO;(Nessuno);0,42;1,805
505;SP 31;CASTELNUOVO;(Nessuno);0;0,69
171;SP 126 dir;CAVALESE;(Nessuno);0,973;1,728
29;SS 620;CAVALESE;(Nessuno);21,828;22,844
28;SS 48;CAVALESE;(Nessuno);22,75;24,902
520;SP 26;CAVARENO;(Nessuno);0;0,8
519;SS 43 rac;CAVARENO;(Nessuno);0;0,2
518;SS 43 dir;CAVARENO;(Nessuno);11,75;13,04
30;SS 43 dir;CAVARENO;(Nessuno);11,75;13,04
31;SS 43 rac;CAVARENO;(Nessuno);0;0,2
521;SP 229;CAVARENO;(Nessuno);0;0,11
172;SP 26;CAVARENO;(Nessuno);0;0,8
32;SS 421;CAVEDAGO;(Nessuno);9,3;10,9
175;SP 84;CAVEDINE;Cavedine;9,08;9,84
174;SP 84;CAVEDINE;Stravino;8,1;8,52
176;SP 84;CAVEDINE;Vigo Cavedine;11,15;11,73
173;SP 38;CAVIZZANA;(Nessuno);1,67;1,84
177;SP 96;CEMBRA;(Nessuno);0;0,45
33;SS 612;CEMBRA;(Nessuno);13,765;15,349
371;SP 108;CENTA SAN NICOLO';Centa San NicolÃ²;0,65;1,525
372;SP 108;CENTA SAN NICOLO';Valle;2,6;2,88
178;SP 70;CIMEGO;Cimego;0,322;1,17
456;SP 25;CIMONE;Covelo;3,87;4,28
614;SP 57;CIS;(Nessuno);1,25;1,965
338;SP 73;CLES;(Nessuno);16,1;17,923
351;SS 43;CLES;(Nessuno);3,8;7,01
581;SS 42;CLOZ;(Nessuno);200,05;201,73
648;SP 213 dir Lundo;COMANO TERME;Lundo;1,282;1,495
641;SP 5;COMANO TERME;Villa;2,98;3,321
637;SS 421;COMANO TERME;Dasindo;41,866;42,38
644;SP 213;COMANO TERME;Poia - Godenzo;0,19;2,8
639;SP 5;COMANO TERME;Comighello;2,046;2,548
640;SP 5;COMANO TERME;Sesto;2,55;2,742
638;SP 5;COMANO TERME;Cares;0,9;1,635
647;SP 213 dir Comano;COMANO TERME;Comano;1,115;1,4
636;SS 421;COMANO TERME;Campo Lomaso;39,82;40,64
646;SP 213 dir Comano;COMANO TERME;Godenzo;0;0,48
365;SS 237;COMANO TERME;P.Arche;98,07;100,155
691;SS 421;COMANO TERME;Campo Lomaso;39,82;40,64
643;SP 213;COMANO TERME;P.Arche;0;0,154
645;SP 213;COMANO TERME;Vigo Lomaso;6;6,609
642;SP 33;COMANO TERME;Valgate;0;0,01
182;SP 119;CONCEI;Lenzumo;2,405;2,947
179;SP 119;CONCEI;Locca;0,745;1,53
180;SP 119 dir;CONCEI;Locca;0;0,11
181;SP 119;CONCEI;Enguiso;1,733;2,155
184;SP 123;CONDINO;(Nessuno);0;0,4
183;SP 123 sv;CONDINO;(Nessuno);0;2,7
185;SP 7;COREDO;(Nessuno);2,8;5,1
421;SP 201;CROVIANA;(Nessuno);2,365;3,54
187;SP 73;CUNEVO;(Nessuno);5,1;6,2
186;SP 67;CUNEVO;(Nessuno);11,31;11,967
486;SP 126;DAIANO;(Nessuno);3,305;4,279
462;SP 126;DAIANO;(Nessuno);3,4;4,279
485;SS 620;DAIANO;(Nessuno);20,4;21
461;SS 620;DAIANO;(Nessuno);20,4;21
199;SP 24;DAMBEL;(Nessuno);4,882;5,53
517;SP 27 dir;DAONE;Daone;0;0,335
516;SP 27;DAONE;Daone;3,884;4,95
188;SP 27;DAONE;Daone;3,884;4,9
34;SS 239;DARE';Dare';41,75;42,05
189;SP 73;DENNO;(Nessuno);2,128;3,93
425;SS 239;DIMARO;Folgarida Alta;7,555;7,9
423;SS 239;DIMARO;Dimaro;0;0,79
422;SS 42;DIMARO;Dimaro;174,22;174,63
424;SS 239;DIMARO;Folgarida;6,275;6,63
190;SP 26;DON;(Nessuno);2,065;2,102
37;SS 45 bis;DRO;Pietramurata;131,63;133,21
38;SS 45 bis;DRO;localitÃ  Lago;126,925;127,4
192;SP 84;DRO;Dro;20,08;20,444
194;SP 214 dir;DRO;Pietramurata;0,64;1,495
578;SP 64;FAI DELLA PAGANELLA;loc. Santel;8,9;11,915
195;SP 101;FAVER;(Nessuno);0;0,046
39;SS 612;FAVER;(Nessuno);15,505;16,668
41;SS 421;FIAVE';frazione Fiave';44,217;44,54
42;SS 421;FIAVE';frazione Ballino;49,297;49,666
40;SS 421;FIAVE';frazione Stumiaga;43,318;43,957
196;SP 5;FIAVE';frazione Fiave';8,467;9,31
582;SS 50;FIERA DI PRIMIERO;(Nessuno);71,83;72,4
373;SP 135;FIEROZZO;(Nessuno);7,8;8,6
197;SP 73;FLAVON;(Nessuno);6,739;7,934
595;SS 349 dir;FOLGARIA;Nosellari;2,022;2,93
599;SP 216 sv Cappella;FOLGARIA;Dazio;0;0,057
589;SS 350;FOLGARIA;Carpeneda;10,51;10,835
601;SP 143;FOLGARIA;Francolini;1,135;1,62
591;SS 350;FOLGARIA;Morganti;18,3;18,62
597;SS 349;FOLGARIA;Virti;27,52;27,974
605;SP 220;FOLGARIA;Serrada;8,253;8,7
590;SS 350;FOLGARIA;Costa;13,853;14,7
604;SP 2 dir Parisa;FOLGARIA;Serrada;0;0,732
606;SP 2;FOLGARIA;Mezza Selva;22,11;22,86
603;SP 2;FOLGARIA;Serrada;19,285;20,54
587;SS 350;FOLGARIA;Mezzomonte di Sopra;5,705;6,375
596;SS 350;FOLGARIA;Buse;23,514;24,22
593;SS 349;FOLGARIA;Carbonare;25,557;26,22
592;SS 350;FOLGARIA;Carbonare;19,05;20,037
588;SP 220;FOLGARIA;Mezzomonte di Sopra;0;0,66
586;SS 350;FOLGARIA;Mezzomonte di Sotto;4,748;5,388
602;SP 143 dir;FOLGARIA;Fondo Grande;0,01;0,455
607;SP 220;FOLGARIA;Guardia;4,34;4,95
598;SP 216;FOLGARIA;Dazio;4,325;4,47
584;SP 143;FOLGARIA;Folgaria;0;0,355
585;SP 2;FOLGARIA;Folgaria;23,59;24,655
583;SS 350;FOLGARIA;Folgaria;11,885;13,853
600;SP 143;FOLGARIA;Erspameri;0,68;1,03
594;SS 350;FOLGARIA;Nosellari;21,495;21,585
44;SS 238;FONDO;(Nessuno);0;1,2
43;SS 42;FONDO;(Nessuno);208,35;210,35
198;SP 35;FONDO;(Nessuno);0;0,043
45;SS 238 dir;FONDO;(Nessuno);0;1,186
375;SP 233;FRASSILONGO;(Nessuno);5,4;5,891
374;SP 135;FRASSILONGO;(Nessuno);3,6;4
46;SS 239;GIUSTINO;Giustino;31,3;32,65
200;SP 54;GRAUNO;(Nessuno);0,826;1,078
576;SP 90 2°tronco;ISERA;Marano;3,966;4,435
573;SP 45;ISERA;Isera;0,25;1,14
574;SP 45;ISERA;Folaso;1,97;2,373
575;SP 45;ISERA;Lenzima;4,476;5,123
577;SP 90 dir Rovereto;ISERA;Cornale';0,1;0,703
201;SP 60 dir;IVANO-FRACENA;(Nessuno);0,483;1,63
47;SS 237;LARDARO;(Nessuno);75,87;76,66
671;SP 214;LASINO;Pergolese;1,702;3,57
669;SP 84;LASINO;Lasino;5,75;6,6
670;SP 85;LASINO;Lagolo;31,3;31,85
49;SS 349;LAVARONE;frazione Gionghi e Gasperi;31,4;32,5
202;SP 216;LAVARONE;frazione Cappella;0;1,221
204;SP 216;LAVARONE;frazione Masi di Sotto;2,582;3,067
48;SS 349;LAVARONE;frazione Chiesa;29,18;30,108
203;SP 216;LAVARONE;frazione Oseli;1,845;2,195
342;SP 131 1°tronco;LAVIS;Pressano;0;0,3
353;SS 12;LAVIS;(Nessuno);390,97;391,86
